1	4	4
1	19	4
2	6	2
2	18	1
2	44	1
3	26	3
4	19	1
4	36	3
5	3	4
5	9	1
6	22	1
8	49	0
9	43	4
10	8	4
10	49	0
11	7	3
11	33	3
12	28	4
14	15	2
14	28	1
15	31	4
17	10	0
18	27	2
19	26	4
20	28	4
21	21	4
21	27	2
23	24	1
24	9	0
24	48	1
25	10	0
26	2	1
26	30	2
27	12	3
27	42	2
27	44	0
29	1	0
30	8	0
31	18	1
31	26	1
31	43	2
33	2	2
33	21	2
34	6	1
34	28	2
34	48	4
35	48	3
37	11	2
38	5	1
38	41	0
39	16	4
39	26	2
40	17	1
40	28	2
41	20	1
42	25	2
43	26	2
44	3	2
44	8	4
45	13	2
47	40	1
48	12	1
49	47	3
50	4	3
51	10	0
53	13	3
55	11	3
57	48	1
59	17	4
63	7	3
68	12	1
68	22	1
69	13	4
69	49	2
70	22	1
70	25	4
71	19	3
72	42	3
74	43	3
77	6	0
78	40	4
79	7	2
82	41	3
83	4	4
83	47	4
84	13	2
85	12	1
86	2	0
86	10	4
87	14	2
88	15	0
88	17	2
88	26	4
90	5	0
90	14	1
90	46	2
91	3	0
91	41	1
92	8	4
93	1	2
93	28	1
93	49	3
95	36	1
98	7	0
98	19	3
98	25	4
99	7	2
99	21	0
101	1	0
103	3	2
103	12	3
103	47	2
104	10	4
104	22	1
104	46	2
105	6	4
105	13	2
105	18	1
107	40	2
108	9	1
108	25	2
108	30	3
110	33	1
111	45	4
112	13	2
112	41	3
112	48	2
113	28	3
114	24	1
115	20	1
116	25	1
116	47	4
120	14	3
120	49	3
122	4	2
123	18	3
124	8	0
124	21	1
124	45	1
125	27	2
125	44	0
126	9	0
126	19	0
126	29	1
126	35	3
128	18	2
128	19	4
128	27	4
128	35	1
129	20	1
129	22	2
129	37	3
129	41	1
129	49	0
131	38	3
133	34	1
134	3	3
134	11	4
135	15	4
137	21	3
137	46	4
139	2	0
139	17	3
139	27	4
141	5	4
142	49	4
143	14	3
144	29	0
144	35	4
145	11	4
145	18	2
147	4	4
147	25	3
147	45	3
149	11	1
150	25	0
151	24	2
151	31	1
151	41	3
151	49	3
153	10	4
155	1	2
155	26	3
157	4	1
157	11	1
157	37	4
157	38	3
159	1	1
160	44	3
162	6	1
162	48	3
164	12	1
164	21	3
164	38	0
167	24	1
167	25	0
167	29	3
168	44	1
169	26	3
170	29	2
173	35	3
174	4	4
176	38	3
177	19	0
178	13	0
180	49	1
181	7	1
181	8	3
181	48	1
183	45	3
183	48	3
184	38	4
185	13	3
185	29	4
186	19	1
186	27	4
187	42	1
190	1	4
191	22	3
191	47	0
192	1	2
192	3	2
193	14	3
194	6	2
194	44	0
195	4	3
195	31	1
195	43	1
196	4	2
198	40	3
199	49	3
200	40	3
201	14	0
201	21	0
201	27	1
201	36	0
202	20	2
204	1	0
204	31	0
207	10	2
207	23	2
209	18	2
210	9	3
210	16	3
211	37	2
211	46	3
214	35	2
215	12	0
215	44	1
216	29	0
218	27	2
218	28	0
220	14	4
221	9	4
221	12	3
221	22	2
221	42	1
221	45	4
223	12	0
224	21	3
224	48	2
225	2	0
226	13	0
226	32	2
227	40	0
229	46	3
230	22	4
230	33	3
231	6	2
231	7	3
231	16	2
231	27	2
232	23	0
233	11	3
234	1	0
236	22	4
242	17	1
242	24	4
243	45	0
247	1	2
247	6	1
247	35	2
248	23	3
248	26	4
249	22	2
251	24	3
252	30	0
252	47	3
253	38	3
253	49	3
254	18	0
254	23	0
255	8	3
255	17	0
255	21	1
258	2	2
259	17	0
259	38	1
259	39	3
260	15	2
260	26	0
262	4	4
263	46	0
264	24	4
264	40	1
265	21	0
266	19	4
267	43	4
268	2	4
269	9	4
269	14	4
270	16	2
270	25	2
271	19	1
272	31	4
272	36	1
273	10	3
273	25	4
274	5	0
274	10	1
274	38	3
274	39	1
275	22	1
275	42	4
276	5	2
276	41	3
277	22	2
278	16	0
279	3	4
279	8	1
281	22	3
281	30	1
283	19	3
283	32	4
285	35	0
286	41	0
286	48	2
288	33	4
288	46	1
290	24	1
292	2	3
293	21	0
295	2	0
296	3	0
297	33	3
297	43	4
298	38	0
299	2	2
299	5	0
299	29	0
299	39	2
302	37	2
302	39	1
302	45	3
302	46	3
303	25	4
304	26	1
304	31	4
308	19	2
309	44	2
309	45	4
310	15	3
312	35	0
313	25	2
314	25	2
315	25	4
315	39	3
315	48	0
316	10	0
316	12	1
316	49	2
317	14	4
318	47	0
319	17	1
319	20	1
321	15	0
324	7	4
325	40	4
327	6	3
327	8	2
327	30	0
327	49	0
328	22	4
329	39	2
331	21	2
332	19	2
334	41	3
335	18	3
336	18	1
337	18	4
337	44	0
338	3	0
338	14	0
338	19	2
338	25	3
338	41	2
340	4	0
340	28	1
340	36	2
341	14	3
341	38	3
341	39	4
343	11	4
345	20	4
345	31	0
347	37	1
348	15	0
348	27	1
351	37	3
351	44	0
352	7	2
352	26	1
353	9	3
354	10	2
354	30	4
355	38	3
355	43	4
357	16	4
358	5	4
358	19	1
359	44	3
361	44	3
363	8	2
363	23	1
365	18	2
365	22	1
366	33	2
368	29	2
368	44	3
369	8	2
369	21	4
370	32	2
370	41	1
372	9	4
372	31	3
374	47	2
375	27	4
376	18	1
377	20	2
377	22	4
378	31	0
378	45	4
380	30	3
380	39	2
381	18	2
381	44	3
382	11	4
382	27	1
382	28	4
386	12	3
386	37	1
387	4	1
387	43	2
387	44	1
388	18	3
388	25	1
388	29	1
388	30	1
388	46	4
389	3	3
389	34	4
390	14	1
391	4	2
392	20	1
392	22	1
392	32	3
393	9	4
393	15	0
393	24	3
394	13	0
395	2	2
395	14	3
395	39	4
396	1	1
396	24	4
396	42	1
396	44	0
400	16	1
400	48	2
402	10	2
406	12	1
406	34	0
408	1	2
408	12	1
409	44	0
415	13	0
417	45	1
418	18	1
419	27	1
419	33	4
419	38	3
420	7	1
421	32	1
422	3	3
422	6	2
422	13	1
423	18	1
423	45	3
424	9	4
425	21	1
425	48	2
427	12	3
428	49	3
429	3	3
430	44	3
431	35	3
431	42	3
435	8	2
435	29	0
435	46	2
436	18	3
436	48	3
437	7	3
438	44	2
440	34	2
441	33	4
443	29	0
443	44	0
444	4	4
444	30	0
445	10	4
445	14	2
445	30	2
446	26	0
447	44	0
449	17	2
450	10	3
450	39	0
451	6	0
452	21	0
452	40	4
455	45	2
456	20	2
456	25	3
457	47	4
458	25	4
458	34	2
458	43	2
459	1	2
459	41	4
459	46	3
460	13	2
461	35	1
462	7	3
462	28	3
462	33	1
463	16	0
467	7	1
467	16	0
467	41	2
468	36	0
471	27	0
471	33	0
471	35	2
472	35	4
472	40	4
477	26	1
482	5	4
485	25	1
487	36	2
488	4	4
488	30	3
489	14	2
489	32	3
490	13	2
491	39	0
492	15	0
492	27	1
492	43	0
493	29	3
493	31	1
495	49	4
497	13	3
497	42	3
497	46	2
498	5	3
499	6	2
499	22	0
500	26	1
502	48	0
504	17	2
504	19	1
504	29	0
505	17	0
506	44	2
507	24	0
508	1	4
509	7	4
509	40	4
510	27	1
510	33	0
511	29	0
512	44	2
512	47	0
513	36	3
514	28	1
515	2	2
515	9	4
516	19	2
518	29	0
519	3	2
519	28	3
520	5	2
520	16	2
520	35	1
523	6	3
523	33	1
524	17	3
526	25	2
526	48	2
527	18	0
528	6	2
529	45	1
530	17	2
533	6	3
533	37	4
533	48	2
535	12	1
535	39	1
536	35	0
536	36	3
538	24	1
539	9	0
539	22	3
540	4	2
540	40	2
541	26	2
542	1	4
542	8	4
543	14	0
543	25	0
543	30	4
543	44	1
544	1	1
545	41	0
546	33	3
547	10	4
547	24	1
548	37	1
549	7	1
549	10	0
550	7	1
550	10	3
551	23	2
552	11	3
554	4	4
555	4	3
556	15	4
556	21	1
556	26	0
558	32	3
560	11	0
561	9	1
563	27	2
565	31	4
566	37	2
567	45	4
567	48	2
569	24	0
571	39	2
571	40	4
572	31	0
572	35	3
573	33	3
574	5	3
574	8	3
575	35	2
577	21	2
577	26	3
578	46	2
580	37	4
581	30	2
583	6	0
583	21	2
583	27	3
583	28	1
585	22	3
585	37	0
585	49	1
586	27	4
587	3	2
589	9	2
589	34	3
589	41	4
590	23	4
591	4	0
591	29	0
591	45	4
592	9	3
593	19	2
595	42	0
596	6	0
597	42	4
597	43	3
598	9	0
599	36	0
600	48	1
601	38	3
602	26	3
602	28	2
603	30	0
604	40	0
604	48	1
605	6	1
605	15	0
606	28	1
611	9	0
611	15	4
611	21	3
611	29	0
612	11	0
612	16	1
613	14	2
